req,keyword,is_anchor,v
R12,울산내과,0,"26.00948,31.08321,28.27422,37.41221,34.40133,28.97647,24.30653,23.99051,26.76439,20.97963,23.70084,28.26544,22.91959,23.2356,20.11938,26.04459,37.2191,19.09234,21.1113,19.85603,19.19768,17.89852,16.58181,18.53932,15.27387,23.26193,18.58321,17.89852,21.1903,25.19311,18.13553,16.28335,20.33883,17.74929,16.69592,16.82759"
R12,수원내과,0,"17.80196,20.37394,17.81074,22.85814,20.4705,19.14501,17.0646,14.57162,15.75667,15.75667,17.05582,19.85603,17.29283,17.83707,14.36973,18.32865,22.73525,12.28932,14.56285,12.10498,19.35568,21.61165,21.81355,19.1099,14.53651,18.09164,16.43258,22.73525,34.12043,19.35568,14.44873,13.79037,13.44803,13.26369,25.4389,14.67696"
R13,서울피부과,1,"65.90513,69.65027,58.12005,58.86372,69.58997,69.34208,68.68551,67.23167,70.64183,65.03416,76.1825,76.32319,68.00214,64.03591,57.42998,58.34784,71.07061,64.2503,64.1297,61.30912,65.70414,63.52673,69.21479,69.50288,59.12501,64.84657,48.63325,53.35655,57.61758,54.24092,53.07517,52.86077,54.6697,53.21586,57.57068,57.54388"
R13,인천안과,0,"12.03269,11.11483,9.21881,10.42476,10.19697,11.09473,12.05279,11.14833,12.04609,10.86024,17.38576,12.84336,13.05105,11.04113,9.53369,9.98928,11.20192,11.7446,16.78949,9.72799,10.70615,13.03095,39.61543,14.67908,9.07811,12.09969,8.44164,9.4801,11.8853,10.75974,10.07637,10.38456,13.93541,10.19697,10.10987,11.41632"
R13,광주안과,0,"71.3855,75.82071,69.97856,80.04153,96.93822,90.76778,82.13855,79.43186,80.41002,76.87257,83.2239,89.08615,80.7584,77.54924,79.77354,88.75117,100,92.7978,84.71794,80.8455,81.72986,77.26785,82.95591,85.72289,74.30657,83.78668,71.4056,83.57898,98.49256,84.82513,85.5956,79.25097,80.01473,78.4001,83.69958,91.14297"
R13,대전안과,0,"43.86305,41.46455,28.69489,45.96006,38.57697,36.23207,48.40546,40.473,46.04046,37.24373,39.53503,38.29559,39.42784,33.51869,29.12367,28.17231,35.88369,28.82218,33.2239,32.50033,35.89709,31.13359,28.65469,32.94251,29.94104,39.86332,26.20929,29.35146,27.46884,29.50556,27.73013,29.71325,29.45196,30.7651,33.53879,34.40305"
R13,울산안과,0,"23.7237,24.17258,42.00723,31.48867,27.65643,29.63955,27.05346,26.1892,28.00482,24.10558,23.12742,23.7371,24.49417,21.98177,18.29693,20.24654,22.63834,20.13265,21.96167,24.36017,32.23904,32.05145,24.27978,23.5897,20.40734,26.38349,18.853,26.32319,37.14323,43.16628,44.02385,37.9807,25.17084,27.78373,21.69368,22.08897"
R14,서울피부과,1,"76.89361,81.26319,67.81052,68.67818,81.19283,80.90361,80.13757,78.44133,82.42007,75.87743,88.88454,89.04869,79.34026,74.71273,67.00539,68.07629,82.92034,74.96287,74.82216,71.5313,76.65911,74.11865,80.7551,81.09122,68.98303,75.65856,56.74196,62.25279,67.22426,63.2846,61.92448,61.67435,63.78488,62.08864,67.16954,67.13827"
R14,인천정형외과,0,"24.29453,22.85624,20.48776,21.46486,21.39451,22.24654,43.31274,20.85515,22.184,22.87969,23.84897,23.82552,24.77135,22.89533,19.11201,19.01039,20.65973,18.76807,26.0064,27.46814,29.14875,31.61885,35.0895,27.38997,35.84772,24.61502,17.21253,18.94004,15.20362,18.07238,20.22199,18.55702,19.02602,17.46267,15.7977,14.33596"
R14,광주정형외과,0,"31.39998,32.58031,25.71718,33.39326,28.39052,29.86007,29.79754,33.26819,45.72031,37.43453,31.65012,46.3691,43.12514,31.65012,28.07785,26.17056,29.56304,25.68592,59.86867,38.80247,46.3691,34.30782,31.05604,31.04822,28.96115,37.31728,31.39998,29.67247,34.87844,32.92425,34.71429,29.36762,37.33291,31.47033,34.04987,34.2531"
R14,대전정형외과,0,"53.77159,53.99828,42.00734,43.83647,46.1346,47.94809,53.48237,54.19369,58.18807,53.88102,44.28984,42.39036,54.49073,48.40928,39.66231,41.68686,45.2513,37.30946,61.29914,100,68.51403,58.28187,59.19643,89.55678,73.12592,61.66653,83.03759,96.99835,55.24896,48.7454,54.45947,52.13788,49.93355,45.09497,45.947,48.10443"
