시도,시군구,행정동,행정동코드,인구,남,여,최근증감,면적_km2,인구_0~9,인구_10~19,인구_20~39,인구_40~59,인구_65+,인구_여20~49
서울,은평구,수색동,1138065000,21088,10145,10943,-15,1.134,1744,1379,6020,6623,3799,4560
서울,은평구,진관동,1138069000,53565,24800,28765,35,12.846,2731,6491,12637,17627,10595,11617
서울,서대문구,천연동,1141052000,16246,7631,8615,-50,0.889,939,1191,4232,5060,3732,3381
서울,서대문구,북아현동,1141055500,15076,7259,7817,-20,0.442,1149,984,4491,4764,2580,3582
서울,서대문구,충현동,1141056500,19097,9104,9993,-38,1.131,845,1241,5933,5691,3948,4504
서울,서대문구,신촌동,1141058500,20650,8751,11899,-65,2.554,384,977,12385,3765,2327,8433
서울,서대문구,연희동,1141061500,33030,15596,17434,-61,2.812,1028,1861,12509,8891,6650,8467
서울,서대문구,홍제제1동,1141062000,24256,11242,13014,-26,1.553,1156,1624,6426,7454,5687,5100
서울,서대문구,홍제제3동,1141064000,17157,8108,9049,-26,1.026,871,1018,4362,5070,4434,3283
서울,서대문구,홍제제2동,1141065500,11803,5477,6326,0,0.709,600,698,3066,3397,2988,2322
서울,서대문구,홍은제1동,1141066000,23322,11143,12179,6,1.543,1178,1512,6000,7051,5702,4650
서울,서대문구,홍은제2동,1141068500,27047,12903,14144,-39,2.038,1118,2072,7281,8271,6224,5506
서울,서대문구,남가좌제1동,1141069000,17264,8239,9025,35,0.445,1762,2082,3694,6105,2687,3836
서울,서대문구,남가좌제2동,1141070000,28277,13453,14824,-45,0.808,1902,2579,7590,8903,5597,6327
서울,서대문구,북가좌제1동,1141071000,17095,8170,8925,-25,0.578,918,1870,3827,5691,3538,3404
서울,서대문구,북가좌제2동,1141072000,29490,14113,15377,-72,0.791,967,1878,7910,8747,7586,5843
서울,마포구,아현동,1144055500,28566,13198,15368,-26,0.728,2653,2390,8131,9545,4179,7377
서울,마포구,공덕동,1144056500,35843,16662,19181,-4,1.014,1615,2040,11684,10722,6950,8936
서울,마포구,도화동,1144058500,20213,9538,10675,23,0.602,1209,1380,5925,5999,4218,4554
서울,마포구,용강동,1144059000,21165,9893,11272,-73,0.772,1700,2265,5179,7443,3430,5001
서울,마포구,대흥동,1144060000,14221,6746,7475,-21,0.832,447,893,5927,3968,2140,4174
서울,마포구,염리동,1144061000,16740,7975,8765,3,0.537,1142,1868,4689,5808,2356,4152
서울,마포구,신수동,1144063000,21955,10653,11302,8,0.816,1295,1735,6648,7158,3909,5068
서울,마포구,서강동,1144065500,24345,11620,12725,-1,1.478,1324,1665,8561,7337,3982,6349
서울,마포구,서교동,1144066000,23436,10664,12772,-29,1.639,572,961,10572,6416,3624,7588
서울,마포구,합정동,1144068000,15446,7042,8404,-61,1.659,477,680,6030,4431,2860,4507
서울,마포구,망원제1동,1144069000,18336,8496,9840,-56,1.084,567,896,6374,5448,3855,4784
서울,마포구,망원제2동,1144070000,17062,7887,9175,-26,0.64,640,1227,5165,5411,3524,4156
서울,마포구,연남동,1144071000,13825,6417,7408,-50,0.644,414,613,5517,3919,2587,3933
서울,마포구,성산제1동,1144072000,18300,8317,9983,14,0.86,554,1142,6115,5805,3490,4744
서울,마포구,성산제2동,1144073000,37924,16742,21182,-78,1.953,1620,2510,13392,10691,7234,10555
서울,마포구,상암동,1144074000,29110,13553,15557,8,8.561,1534,3328,7725,9656,5075,6708
서울,양천구,목1동,1147051000,29799,14320,15479,-5,1.557,2251,5119,5145,11561,4176,6320
서울,양천구,목2동,1147052000,27731,13274,14457,20,1.049,1036,2016,8838,8304,5428,6575
서울,양천구,목3동,1147053000,20469,9689,10780,-31,0.498,893,1226,6299,6019,4472,4681
서울,양천구,목4동,1147054000,23485,11399,12086,-17,0.559,865,2703,6094,8020,4061,4753
서울,양천구,목5동,1147055000,40354,19937,20417,-65,1.796,2718,7302,6635,15284,6092,8293
서울,양천구,신월1동,1147056000,18426,9425,9001,-11,0.625,483,992,4080,5583,5424,2987
서울,양천구,신월2동,1147057000,20385,9895,10490,10,0.611,1061,1689,4718,6277,5125,3842
서울,양천구,신월3동,1147058000,13463,7090,6373,-34,0.923,523,822,3068,3972,3765,2189
서울,양천구,신월4동,1147059000,16571,7990,8581,-23,0.452,869,1422,3520,5191,4216,2974
