시도,시군구,지도_병원계,지도_CNP차앤박피부과,지도_CU클린업 피부과,지도_가정의학과,지도_국립병원,지도_내과,"지도_노인,요양병원",지도_대학병원,지도_보훈병원,지도_비뇨기과,지도_산부인과,지도_성장클리닉,지도_성형외과,지도_소아청소년과,지도_시도립병원,지도_신경과,지도_신경외과,지도_안과,지도_영상의학과,지도_외과,지도_이비인후과,지도_이지함피부과,지도_일반의원,지도_재활의학과,지도_정신건강의학과,지도_정형외과,지도_종합병원,지도_진단검사의학과,지도_치과,지도_통증클리닉,지도_피부과,지도_한방병원,지도_한의원,지도_항문외과,지도_흉부외과
경남,통영시,110,0,0,0,0,12,2,0,0,2,2,0,2,4,0,2,3,4,1,2,3,0,16,0,2,5,1,0,28,1,5,1,12,0,0
경남,하동군,35,0,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,0,7,0,0,0,8,0,0
경남,함안군,47,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,13,1,0,0,12,0,0
경남,함양군,35,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,1,1,0,0,9,2,0,0,10,0,0
경남,합천군,37,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,2,0,0,10,0,0,0,7,0,0
경북,경산시,312,0,0,0,0,32,9,0,0,4,11,0,2,14,0,4,7,6,1,4,16,0,26,3,4,17,2,0,76,4,7,0,63,0,0
경북,경주시,258,0,0,2,0,24,10,2,0,2,5,0,1,5,0,0,2,7,0,3,7,0,34,1,7,6,0,0,62,5,12,0,61,0,0
경북,고령군,29,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,3,0,0,9,0,0,0,7,0,0
경북,구미시,434,0,0,9,0,35,8,0,0,9,16,0,7,23,0,7,6,8,2,2,18,0,35,3,7,22,4,0,104,8,15,6,76,3,1
경북,김천시,122,0,0,2,0,10,5,0,0,4,4,0,2,4,0,1,0,3,0,1,3,0,11,2,4,5,2,0,30,4,1,0,24,0,0
경북,문경시,81,0,0,2,0,6,4,0,0,2,3,0,0,2,0,0,1,2,0,0,2,0,11,0,1,3,1,0,19,2,2,0,18,0,0
경북,봉화군,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0
경북,상주시,100,0,0,1,0,8,3,0,0,2,3,0,0,3,0,0,3,3,0,1,2,0,12,1,3,3,2,0,22,2,2,0,24,0,0
경북,성주군,37,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,2,0,0,10,0,0,0,9,0,0
경북,안동시,177,0,0,6,0,13,6,0,0,3,6,0,2,4,0,1,1,5,0,5,4,0,8,2,2,6,3,0,41,8,4,1,46,0,0
경북,영덕군,34,0,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,6,0,0,0,0,0,10,1,0,0,6,0,0
경북,영양군,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
경북,영주시,108,0,0,0,0,10,5,0,0,3,3,0,0,1,0,0,1,4,1,1,4,0,12,1,2,4,1,0,28,2,2,1,22,0,0
경북,영천시,96,0,0,0,0,9,4,0,0,1,1,0,0,2,0,1,1,3,0,1,3,0,12,1,2,5,1,0,13,1,2,1,32,0,0
경북,예천군,41,0,0,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,9,0,0,4,0,0,6,1,0,0,12,0,0
경북,울릉군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
경북,울진군,35,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,10,2,0,0,9,0,0
경북,의성군,37,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,0,0,2,0,0,8,2,0,0,7,0,0
경북,청도군,49,0,0,1,0,3,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,2,0,0,11,0,0,0,11,0,0
경북,청송군,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,3,0,0,0,7,0,0
경북,칠곡군,94,0,0,2,0,6,4,0,0,1,2,0,0,6,0,1,2,3,0,1,4,0,12,0,1,6,0,0,22,4,1,0,16,0,0
경북,포항남구,237,0,0,2,0,17,6,0,0,2,4,0,0,7,0,1,1,6,0,7,6,0,26,3,2,11,2,0,59,3,7,4,59,1,1
경북,포항북구,347,0,0,5,0,25,19,0,0,8,6,0,9,7,1,2,3,7,1,4,12,0,38,1,9,15,1,0,86,6,17,1,63,0,1
광주,광산구,419,0,0,14,0,35,11,0,4,6,15,0,3,9,0,4,2,9,0,4,18,0,26,6,7,12,6,0,120,2,24,17,64,1,0
광주,남구,290,0,0,10,0,32,3,1,0,7,7,0,1,8,0,4,6,3,1,2,14,0,17,5,7,9,3,0,74,8,10,17,41,0,0
광주,동구,221,0,0,8,0,18,5,1,0,6,6,0,8,8,0,5,5,6,2,6,11,0,10,1,6,5,1,0,48,5,12,8,28,1,1
